nome_job,data_dia,data_hora,mes
ZFIP_VAR_001_14052X,2025-04-07,08:55:08,Abril
ZFIP_VAR_001_2204452,2025-04-07,08:55:08,Abril
ZFIP_VAR_001_2220441X,2025-04-07,08:55:07,Abril
ZFIP_VAR_001_63673,2025-04-07,08:55:08,Abril
ZFIP_VAR_001_6429,2025-04-07,08:55:08,Abril
ZFIP_VAR_001_6430,2025-04-07,08:56:07,Abril
ZFIP_VAR_001_6431,2025-04-07,08:56:07,Abril
ZFIP_VAR_001_6432,2025-04-07,08:56:07,Abril
ZFIP_VAR_001_6433,2025-04-07,08:56:07,Abril
ZFIP_VAR_001_6434,2025-04-07,08:56:07,Abril
ZFIP_VAR_001_6435,2025-04-07,08:56:07,Abril
ZFIP_VAR_001_6436,2025-04-07,08:56:07,Abril
ZFIP_VAR_001_6437,2025-04-07,08:56:07,Abril
ZFIP_VAR_001_6438,2025-04-07,08:57:00,Abril
ZFIP_VAR_001_6439,2025-04-07,08:57:00,Abril
ZFIP_VAR_001_6440,2025-04-07,08:57:00,Abril
ZFIP_VAR_001_6441,2025-04-07,08:57:00,Abril
ZFIP_VAR_001_6442,2025-04-07,08:57:00,Abril
ZFIP_VAR_001_6443,2025-04-07,08:57:00,Abril
ZFIP_VAR_001_6444,2025-04-07,08:57:00,Abril
ZFIP_VAR_001_6445,2025-04-07,08:57:00,Abril
ZFIP_VAR_001_6446,2025-04-07,08:55:07,Abril
ZFIP_VAR_001_6447,2025-04-07,08:55:07,Abril
ZFIP_VAR_001_6448,2025-04-07,08:55:07,Abril
ZFIP_VAR_001_6449,2025-04-07,08:55:08,Abril
ZFIP_VAR_001_6450,2025-04-07,08:55:08,Abril
ZFIP_VAR_001_6451,2025-04-07,08:55:08,Abril
ZFIP_VAR_001_6452,2025-04-07,08:55:07,Abril
ZFIP_VAR_001_65463,2025-04-07,08:50:07,Abril
ZFIP_VAR_033_00231,2025-04-07,08:55:08,Abril
ZFIP_VAR_033_00322,2025-04-07,08:49:02,Abril
ZFIP_VAR_033_00353,2025-04-07,08:49:02,Abril
ZFIP_VAR_033_00592,2025-04-07,08:49:02,Abril
ZFIP_VAR_033_03698,2025-04-07,08:49:02,Abril
ZFIP_VAR_033_05415,2025-04-07,08:49:02,Abril
ZFIP_VAR_033_05443,2025-04-07,08:49:02,Abril
ZFIP_VAR_033_52449,2025-04-07,09:00:02,Abril
ZFIP_VAR_033_58741,2025-04-07,08:49:02,Abril
ZFIP_VAR_070_02691,2025-04-07,08:50:07,Abril
ZFIP_VAR_104_02673,2025-04-07,08:58:01,Abril
ZFIP_VAR_104_04905,2025-04-07,08:49:02,Abril
ZFIP_VAR_104_06548,2025-04-07,08:50:07,Abril
ZFIP_VAR_104_17841,2025-04-07,08:50:07,Abril
ZFIP_VAR_104_30001,2025-04-07,08:49:02,Abril
ZFIP_VAR_104_30027,2025-04-07,08:50:08,Abril
ZFIP_VAR_104_30083,2025-04-07,08:50:07,Abril
ZFIP_VAR_104_30091,2025-04-07,08:50:07,Abril
ZFIP_VAR_104_30105,2025-04-07,08:50:07,Abril
ZFIP_VAR_104_30113,2025-04-07,08:50:07,Abril
ZFIP_VAR_104_30121,2025-04-07,08:50:08,Abril
ZFIP_VAR_104_30130,2025-04-07,08:51:01,Abril
ZFIP_VAR_104_30148,2025-04-07,08:51:01,Abril
ZFIP_VAR_104_30156,2025-04-07,08:51:01,Abril
ZFIP_VAR_104_30164,2025-04-07,08:51:01,Abril
ZFIP_VAR_104_30172,2025-04-07,08:51:01,Abril
ZFIP_VAR_104_30180,2025-04-07,08:51:01,Abril
ZFIP_VAR_104_30199,2025-04-07,08:51:01,Abril
ZFIP_VAR_104_30202,2025-04-07,08:51:01,Abril
ZFIP_VAR_104_30210,2025-04-07,08:52:00,Abril
ZFIP_VAR_104_30229,2025-04-07,08:52:00,Abril
ZFIP_VAR_104_30237,2025-04-07,08:52:00,Abril
ZFIP_VAR_104_30245,2025-04-07,08:52:00,Abril
ZFIP_VAR_104_30253,2025-04-07,08:52:00,Abril
ZFIP_VAR_104_30296,2025-04-07,08:52:00,Abril
ZFIP_VAR_104_30318,2025-04-07,08:52:00,Abril
ZFIP_VAR_104_30342,2025-04-07,08:52:00,Abril
ZFIP_VAR_104_30350,2025-04-07,08:53:01,Abril
ZFIP_VAR_104_30369,2025-04-07,08:53:01,Abril
ZFIP_VAR_104_30377,2025-04-07,08:53:01,Abril
ZFIP_VAR_104_30431,2025-04-07,08:53:01,Abril
ZFIP_VAR_237_143295,2025-04-07,08:53:01,Abril
ZFIP_VAR_237_199745,2025-04-07,08:53:01,Abril
ZFIP_VAR_237_199753,2025-04-07,08:53:01,Abril
ZFIP_VAR_237_6025,2025-04-07,08:54:07,Abril
ZFIP_VAR_237_6026,2025-04-07,08:54:07,Abril
ZFIP_VAR_237_6027,2025-04-07,08:57:00,Abril
ZFIP_VAR_237_6028,2025-04-07,08:54:07,Abril
ZFIP_VAR_237_6038,2025-04-07,08:54:07,Abril
ZFIP_VAR_237_6055,2025-04-07,08:54:07,Abril
ZFIP_VAR_237_6072,2025-04-07,08:54:07,Abril
ZFIP_VAR_237_6073,2025-04-07,08:54:07,Abril
ZFIP_VAR_237_6101,2025-04-07,08:54:07,Abril
ZFIP_VAR_237_6103,2025-04-07,08:55:08,Abril
ZFIP_VAR_237_6104,2025-04-07,08:55:07,Abril
ZFIP_VAR_237_6105,2025-04-07,08:55:07,Abril
ZFIP_VAR_237_6107,2025-04-07,08:55:08,Abril
ZFIP_VAR_237_6108,2025-04-07,08:55:07,Abril
ZFIP_VAR_237_6109,2025-04-07,08:55:07,Abril
ZFIP_VAR_237_6110,2025-04-07,08:55:07,Abril
ZFIP_VAR_237_6111,2025-04-07,08:55:08,Abril
ZFIP_VAR_237_6113,2025-04-07,08:56:07,Abril
ZFIP_VAR_237_6115,2025-04-07,08:56:07,Abril
ZFIP_VAR_237_6116,2025-04-07,08:56:07,Abril
ZFIP_VAR_237_6117,2025-04-07,08:56:07,Abril
ZFIP_VAR_237_6118,2025-04-07,08:56:07,Abril
ZFIP_VAR_237_6119,2025-04-07,08:56:07,Abril
ZFIP_VAR_237_6120,2025-04-07,08:56:07,Abril
ZFIP_VAR_237_6121,2025-04-07,08:56:07,Abril
ZFIP_VAR_237_6122,2025-04-07,08:57:00,Abril
ZFIP_VAR_237_6132,2025-04-07,08:57:00,Abril
ZFIP_VAR_237_7109,2025-04-07,08:56:07,Abril
ZFIP_VAR_237_7110,2025-04-07,08:57:00,Abril
ZFIP_VAR_237_7112,2025-04-07,08:57:00,Abril
ZFIP_VAR_237_7166,2025-04-07,08:57:00,Abril
ZFIP_VAR_237_7670,2025-04-07,08:57:00,Abril
ZFIP_VAR_246_25402,2025-04-07,08:57:00,Abril
ZFIP_VAR_246_263902,2025-04-07,08:57:00,Abril
ZFIP_VAR_246_32578,2025-04-07,08:57:00,Abril
ZFIP_VAR_341_015708,2025-04-07,08:58:01,Abril
ZFIP_VAR_341_015864,2025-04-07,08:58:01,Abril
ZFIP_VAR_341_016045,2025-04-07,08:58:01,Abril
ZFIP_VAR_341_178388,2025-04-07,08:58:01,Abril
ZFIP_VAR_341_178388_N,2025-04-07,08:58:01,Abril
ZFIP_VAR_341_225924,2025-04-07,08:58:01,Abril
ZFIP_VAR_341_29445,2025-04-07,08:58:01,Abril
ZFIP_VAR_341_304619,2025-04-07,08:58:01,Abril
ZFIP_VAR_341_31080,2025-04-07,08:59:02,Abril
ZFIP_VAR_341_31084,2025-04-07,08:59:02,Abril
ZFIP_VAR_341_31094,2025-04-07,08:59:02,Abril
ZFIP_VAR_341_31095,2025-04-07,08:59:02,Abril
ZFIP_VAR_341_31096,2025-04-07,08:59:02,Abril
ZFIP_VAR_341_31097,2025-04-07,08:59:02,Abril
